datetime;open;high;low;close
2016-11-16 0:00;711.07;742.87;708.44;739.71
2016-11-17 0:00;739.71;749.98;732.22;735.24
2016-11-18 0:00;736;752.95;731.31;748.98
2016-11-19 0:00;748.98;755.07;742.63;750.75
2016-11-20 0:00;750.75;753.82;714;727.09
2016-11-21 0:00;727.09;739.2;727.03;736.76
2016-11-22 0:00;736.76;750;730.27;749.22
2016-11-23 0:00;749.13;749.98;729.92;740.18
2016-11-24 0:00;740.18;741.15;729;735.63
2016-11-25 0:00;735.63;737.07;728;737.07
2016-11-26 0:00;736.96;737.56;722.3;729.91
2016-11-27 0:00;729.91;732;722.44;727.32
2016-11-28 0:00;727.32;732.44;724.1;729.54
2016-11-29 0:00;729.54;733.29;721;730.76
2016-11-30 0:00;730.76;744.49;727;742.06
2016-12-01 0:00;742.06;754.98;740.18;751.54
2016-12-02 0:00;751.55;778.07;750.77;769.99
2016-12-03 0:00;770.91;770.99;752.41;760.75
2016-12-04 0:00;762.97;762.97;752.41;762
2016-12-05 0:00;762;762.09;743;750.24
2016-12-06 0:00;749.51;759.9;747.99;758.98
2016-12-07 0:00;758.97;769.61;751.78;763.99
2016-12-08 0:00;764.05;772.01;762.29;766.84
2016-12-09 0:00;766.84;773.99;766.29;769.57
2016-12-10 0:00;769.57;774.12;768.11;772.28
2016-12-11 0:00;772.27;772.28;764.01;768.97
2016-12-12 0:00;768.97;779;768.96;776.9
2016-12-13 0:00;777;793.27;765.1;775.35
2016-12-14 0:00;775.05;781;770.74;777.09
2016-12-15 0:00;777.03;779.08;771;775.89
2016-12-16 0:00;776.3;782.46;771.24;781.32
2016-12-17 0:00;781.32;790.88;780.36;788.52
2016-12-18 0:00;788.52;790.99;780;788.67
2016-12-19 0:00;788.34;794.39;787.01;791
2016-12-20 0:00;791.02;803;787.1;798.65
2016-12-21 0:00;798.83;834.97;796.82;832.75
2016-12-22 0:00;832.79;875;827.29;859.96
2016-12-23 0:00;858.94;920;858.93;914
2016-12-24 0:00;914.48;918.5;878.89;892.61
2016-12-25 0:00;892.61;894.97;859;890.67
2016-12-26 0:00;890.65;905.18;888;897.1
2016-12-27 0:00;897.82;936.42;891;930.34
2016-12-28 0:00;930.34;976.48;929.49;976.47
2016-12-29 0:00;976.48;980.74;950;969.58
2016-12-30 0:00;969.99;970;931;959.54
2016-12-31 0:00;959.54;966.37;944.11;966.3
2017-01-01 0:00;966.2;1005;960.53;997.75
2017-01-02 0:00;997.75;1032;990.01;1012.54
2017-01-03 0:00;1011.44;1039;999.99;1035.24
2017-01-04 0:00;1035.51;1139.89;1028.56;1114.92
2017-01-05 0:00;1114.38;1136.72;885.41;1004.74
2017-01-06 0:00;1004.73;1026.99;871;893.89
2017-01-07 0:00;894.02;907.05;812.28;906.2
2017-01-08 0:00;906.2;941.81;881.3;909.75
2017-01-09 0:00;909.8;912.87;875;896.23
2017-01-10 0:00;896.09;912.47;889.41;905.05
2017-01-11 0:00;905.24;918.4;755;778.62
2017-01-12 0:00;778.7;832.99;751.34;807.47
2017-01-13 0:00;807.51;831.4;775;825.86
2017-01-14 0:00;825.98;837.76;810;818.27
2017-01-15 0:00;819.52;823.45;808;821.86
2017-01-16 0:00;821.86;835;818.09;831.81
2017-01-17 0:00;831.76;908.5;827;905.99
2017-01-18 0:00;905.95;915.99;851.74;887.7
2017-01-19 0:00;887.69;910;878.89;901.01
2017-01-20 0:00;902.23;902.43;880;895.8
2017-01-21 0:00;895.81;928;895;921.98
2017-01-22 0:00;921.98;937.74;886.76;923.76
2017-01-23 0:00;923.75;927.57;913.21;913.52
2017-01-24 0:00;913.15;923;881.48;885.47
2017-01-25 0:00;885.47;904.01;884.5;893.43
2017-01-26 0:00;893.25;919.49;892.86;914.83
2017-01-27 0:00;914.95;924.88;908.01;918.02
2017-01-28 0:00;918.02;920.99;913.08;918.6
2017-01-29 0:00;918.6;919.99;910.45;912.01
2017-01-30 0:00;913.12;923;910;919.99
2017-01-31 0:00;919.99;970;917.5;963.99
2017-02-01 0:00;963.99;986.96;962;983.67
2017-02-02 0:00;983.79;1011.65;973.12;1009.17
2017-02-03 0:00;1009.15;1022.64;987.01;1016.99
2017-02-04 0:00;1015.06;1044.23;1004;1033.18
2017-02-05 0:00;1033.72;1034.6;1004.7;1011.07
2017-02-06 0:00;1010.03;1031.94;1005.1;1023.99
2017-02-07 0:00;1024;1056.25;1021.3;1052.48
2017-02-08 0:00;1052.48;1070;1025;1050.4
2017-02-09 0:00;1051.73;1074.69;913.73;986
2017-02-10 0:00;985.71;1010.68;950;996.08
2017-02-11 0:00;995.49;1020;987.62;1012.4
2017-02-12 0:00;1011.01;1011.97;991.98;1000.73
2017-02-13 0:00;1000.73;1007.89;975.1;1000.79
2017-02-14 0:00;1000.74;1019;987.97;1008.88
2017-02-15 0:00;1008.88;1013.8;1000.97;1011.53
2017-02-16 0:00;1011.53;1043.21;1010.75;1032.7
2017-02-17 0:00;1032.91;1064.99;1031.98;1055.46
2017-02-18 0:00;1055.75;1068.99;1046.14;1056.4
2017-02-19 0:00;1056.4;1061.9;1039.07;1051.8
2017-02-20 0:00;1051.8;1089.99;1044.39;1084
2017-02-21 0:00;1084;1126.86;1077;1124.62
2017-02-22 0:00;1124.61;1143;1098.16;1130.01
2017-02-23 0:00;1130.02;1193.92;1120.73;1188.11
2017-02-24 0:00;1183.53;1220;1091.1;1180.14
2017-02-25 0:00;1180.05;1184.73;1127;1152.2
2017-02-26 0:00;1152.11;1184.97;1133;1179.05
2017-02-27 0:00;1180.46;1197.99;1169;1194.64
2017-02-28 0:00;1194.64;1209.99;1176.27;1191.21
2017-03-01 0:00;1191.16;1231;1188.3;1226.39
2017-03-02 0:00;1228;1283.25;1215;1257.6
2017-03-03 0:00;1257.49;1298;1254.16;1285.33
2017-03-04 0:00;1285.33;1289.55;1230;1260
2017-03-05 0:00;1260;1275;1240;1273
2017-03-06 0:00;1269.98;1285;1251;1278.49
2017-03-07 0:00;1278.49;1281.62;1175.97;1233.05
2017-03-08 0:00;1233.86;1245.49;1145.5;1150.05
2017-03-09 0:00;1149.34;1208;1135.01;1190.89
2017-03-10 0:00;1190.99;1350;975;1116.97
2017-03-11 0:00;1111.55;1198;1106.51;1176.55
2017-03-12 0:00;1176.58;1241.85;1170.9;1226.62
2017-03-13 0:00;1226.42;1249.02;1215.43;1242.46
2017-03-14 0:00;1242.46;1260;1226.5;1245.86
2017-03-15 0:00;1245.82;1260;1238.32;1257.32
2017-03-16 0:00;1258.75;1258.96;1130;1172.62
2017-03-17 0:00;1172;1173.23;1063;1071.02
2017-03-18 0:00;1068.16;1099;944.36;969.4
2017-03-19 0:00;969.4;1063.7;969.4;1017.97
2017-03-20 0:00;1012.88;1053;1010.01;1035.96
2017-03-21 0:00;1036.23;1117.9;1034.92;1114.39
2017-03-22 0:00;1114.39;1114.39;988;1037.56
2017-03-23 0:00;1037.6;1054.4;1010.69;1029.65
2017-03-24 0:00;1030.84;1032;920;929.06
2017-03-25 0:00;928.1;963.36;891.33;956.02
2017-03-26 0:00;956.02;997;937.52;960
2017-03-27 0:00;959.08;1043;952.95;1039.92
2017-03-28 0:00;1039.09;1068.26;1014.9;1043.99
2017-03-29 0:00;1042.83;1059.43;1008.16;1035.96
2017-03-30 0:00;1037.29;1050.17;1017.14;1033.7
2017-03-31 0:00;1033.74;1081;1031.43;1070.31
2017-04-01 0:00;1071.34;1097;1061.64;1083.94
2017-04-02 0:00;1083.95;1100;1066.49;1078.01
2017-04-03 0:00;1076.59;1152;1076.19;1144.77
2017-04-04 0:00;1146.42;1162.93;1118.85;1143
2017-04-05 0:00;1143;1145;1111;1134.58
2017-04-06 0:00;1134.86;1201.37;1134.36;1190.85
2017-04-07 0:00;1190.72;1202;1176;1190.66
2017-04-08 0:00;1190.66;1197.3;1166.66;1184.03
2017-04-09 0:00;1184.03;1216.87;1173.98;1206.2
2017-04-10 0:00;1205.2;1219.71;1195;1209.25
2017-04-11 0:00;1209.99;1229;1198.02;1218.99
2017-04-12 0:00;1218.99;1224.57;1208;1212.17
2017-04-13 0:00;1212.16;1219.45;1141;1172.91
2017-04-14 0:00;1172.56;1193;1142;1170.34
2017-04-15 0:00;1169.53;1192.5;1165;1173.45
2017-04-16 0:00;1171;1179.3;1150;1162.31
2017-04-17 0:00;1162.31;1192.5;1161;1176.54
2017-04-18 0:00;1176.59;1210;1175.95;1202.58
2017-04-19 0:00;1202.59;1209.99;1190;1203.98
2017-04-20 0:00;1203.98;1243.88;1201.66;1234.19
2017-04-21 0:00;1234.93;1252.32;1231.65;1243.61
2017-04-22 0:00;1243.6;1247.15;1199;1233.2
2017-04-23 0:00;1231.85;1248.99;1223.42;1241.99
2017-04-24 0:00;1241.99;1254;1234;1253.58
2017-04-25 0:00;1253.58;1280;1251.07;1269
2017-04-26 0:00;1271.4;1330;1265;1287.99
2017-04-27 0:00;1287.92;1342.02;1285;1331.53
2017-04-28 0:00;1331;1347.02;1299;1330.7
2017-04-29 0:00;1333.93;1342.8;1316;1333
2017-04-30 0:00;1336.77;1356;1315.68;1350.21
2017-05-01 0:00;1348.88;1425;1341.22;1390.86
2017-05-02 0:00;1390.86;1481.73;1388;1447.75
2017-05-03 0:00;1447.75;1516.04;1431.02;1503.22
2017-05-04 0:00;1503.25;1623.01;1444.94;1537.23
2017-05-05 0:00;1537.36;1609;1495;1514.9
2017-05-06 0:00;1514.9;1578.97;1505;1558.02
2017-05-07 0:00;1554.04;1565;1525;1554.01
2017-05-08 0:00;1554.38;1653.97;1554.38;1649.54
2017-05-09 0:00;1649.55;1760.4;1616.05;1720.28
2017-05-10 0:00;1720.26;1794.21;1682;1772.58
2017-05-11 0:00;1774.52;1892;1745.01;1828.45
2017-05-12 0:00;1830.85;1832;1650;1691.51
2017-05-13 0:00;1690.33;1785.82;1601.46;1776.89
2017-05-14 0:00;1776.8;1815;1753;1784
2017-05-15 0:00;1782.3;1784;1682.56;1705.48
2017-05-16 0:00;1706.07;1750;1641.22;1700.01
2017-05-17 0:00;1700.01;1840.42;1670.01;1782.99
2017-05-18 0:00;1779;1881.8;1766.33;1878.99
